agent_type,month,median,count,month_start,time_months,post,time_after,log_median
Sevoflurane,2024-12,350.0,5,2024-12-01,21,0,-0.0,5.857933154483459
Sevoflurane,2025-01,511.78499999999997,6,2025-01-01,22,0,-0.0,6.237904614972627
Sevoflurane,2025-02,425.0,7,2025-02-01,23,0,-0.0,6.052089168924417
Sevoflurane,2025-03,225.0,7,2025-03-01,24,0,-0.0,5.41610040220442
Sevoflurane,2025-04,550.0,9,2025-04-01,25,0,-0.0,6.309918278226516
Sevoflurane,2025-05,500.0,8,2025-05-01,26,0,-0.0,6.214608098422191
Sevoflurane,2025-06,350.0,13,2025-06-01,27,0,-0.0,5.857933154483459
Sevoflurane,2025-07,295.0,11,2025-07-01,28,0,-0.0,5.68697535633982
Sevoflurane,2025-08,433.0,9,2025-08-01,29,0,-0.0,6.07073772800249
Sevoflurane,2025-09,360.0,9,2025-09-01,30,0,-0.0,5.886104031450156
Sevoflurane,2025-10,425.0,7,2025-10-01,31,0,-0.0,6.052089168924417
Sevoflurane,2025-11,360.0,5,2025-11-01,32,0,-0.0,5.886104031450156
Sevoflurane,2025-12,400.0,11,2025-12-01,33,0,-0.0,5.991464547107982
Sevoflurane,2026-01,522.995,14,2026-01-01,34,1,0.0,6.259571903789778
Sevoflurane,2026-02,475.0,8,2026-02-01,35,1,1.0183968462549278,6.163314804034641
Sevoflurane,2026-03,607.495,12,2026-03-01,36,1,1.938239159001314,6.409343944728159
